Specimen_ID	water	transplant	IN	specimen	mouse	cage	timepoint
acid__CTL_none____Feces__001_A_00	acid	CTL	none	Feces	1	A	0
acid__CTL_none____Feces__002_A_00	acid	CTL	none	Feces	2	A	0
acid__CTL_none____Feces__003_A_00	acid	CTL	none	Feces	3	A	0
acid__CTL_none____Lung___001_A_00	acid	CTL	none	Lung	1	A	0
acid__CTL_none____Lung___002_A_00	acid	CTL	none	Lung	2	A	0
acid__CTL_none____Lung___003_A_00	acid	CTL	none	Lung	3	A	0
acid__CTL_none____Tongue_001_A_00	acid	CTL	none	Tongue	1	A	0
acid__CTL_none____Tongue_002_A_00	acid	CTL	none	Tongue	2	A	0
acid__CTL_none____Tongue_003_A_00	acid	CTL	none	Tongue	3	A	0
acid__CTL_none____Feces__213_A_56	acid	CTL	none	Feces	213	A	56
acid__CTL_none____Feces__214_A_56	acid	CTL	none	Feces	214	A	56
acid__CTL_none____Feces__215_A_56	acid	CTL	none	Feces	215	A	56
acid__CTL_none____Lung___213_A_56	acid	CTL	none	Lung	213	A	56
acid__CTL_none____Lung___214_A_56	acid	CTL	none	Lung	214	A	56
acid__CTL_none____Lung___215_A_56	acid	CTL	none	Lung	215	A	56
acid__CTL_none____Tongue_213_A_56	acid	CTL	none	Tongue	213	A	56
acid__CTL_none____Tongue_214_A_56	acid	CTL	none	Tongue	214	A	56
acid__CTL_none____Tongue_215_A_56	acid	CTL	none	Tongue	215	A	56
acid__CTL_none____Feces__004_B_00	acid	CTL	none	Feces	4	B	0
acid__CTL_none____Feces__005_B_00	acid	CTL	none	Feces	5	B	0
acid__CTL_none____Feces__006_B_00	acid	CTL	none	Feces	6	B	0
acid__CTL_none____Lung___004_B_00	acid	CTL	none	Lung	4	B	0
acid__CTL_none____Lung___005_B_00	acid	CTL	none	Lung	5	B	0
acid__CTL_none____Lung___006_B_00	acid	CTL	none	Lung	6	B	0
acid__CTL_none____Tongue_004_B_00	acid	CTL	none	Tongue	4	B	0
acid__CTL_none____Tongue_005_B_00	acid	CTL	none	Tongue	5	B	0
acid__CTL_none____Tongue_006_B_00	acid	CTL	none	Tongue	6	B	0
acid__CTL_none____Feces__216_B_56	acid	CTL	none	Feces	216	B	56
acid__CTL_none____Feces__217_B_56	acid	CTL	none	Feces	217	B	56
acid__CTL_none____Lung___216_B_56	acid	CTL	none	Lung	216	B	56
acid__CTL_none____Lung___217_B_56	acid	CTL	none	Lung	217	B	56
acid__CTL_none____Tongue_216_B_56	acid	CTL	none	Tongue	216	B	56
acid__CTL_none____Tongue_217_B_56	acid	CTL	none	Tongue	217	B	56
acid__BMT_none____Feces__067_C_10	acid	BMT	none	Feces	67	C	10
acid__BMT_none____Feces__068_C_10	acid	BMT	none	Feces	68	C	10
acid__BMT_none____Feces__069_C_10	acid	BMT	none	Feces	69	C	10
acid__BMT_none____Feces__007_C_01	acid	BMT	none	Feces	7	C	1
acid__BMT_none____Feces__008_C_01	acid	BMT	none	Feces	8	C	1
acid__BMT_none____Feces__009_C_01	acid	BMT	none	Feces	9	C	1
acid__BMT_none____Feces__079_C_21	acid	BMT	none	Feces	79	C	21
acid__BMT_none____Feces__080_C_21	acid	BMT	none	Feces	80	C	21
acid__BMT_none____Feces__081_C_21	acid	BMT	none	Feces	81	C	21
acid__BMT_none____Lung___079_C_21	acid	BMT	none	Lung	79	C	21
acid__BMT_none____Lung___080_C_21	acid	BMT	none	Lung	80	C	21
acid__BMT_none____Lung___081_C_21	acid	BMT	none	Lung	81	C	21
acid__BMT_none____Tongue_079_C_21	acid	BMT	none	Tongue	79	C	21
acid__BMT_none____Tongue_080_C_21	acid	BMT	none	Tongue	80	C	21
acid__BMT_none____Tongue_081_C_21	acid	BMT	none	Tongue	81	C	21
acid__BMT_none____Feces__019_C_02	acid	BMT	none	Feces	19	C	2
acid__BMT_none____Feces__020_C_02	acid	BMT	none	Feces	20	C	2
acid__BMT_none____Feces__021_C_02	acid	BMT	none	Feces	21	C	2
acid__BMT_none____Feces__031_C_03	acid	BMT	none	Feces	31	C	3
acid__BMT_none____Feces__032_C_03	acid	BMT	none	Feces	32	C	3
acid__BMT_none____Feces__033_C_03	acid	BMT	none	Feces	33	C	3
acid__BMT_none____Feces__043_C_05	acid	BMT	none	Feces	43	C	5
acid__BMT_none____Feces__044_C_05	acid	BMT	none	Feces	44	C	5
acid__BMT_none____Feces__045_C_05	acid	BMT	none	Feces	45	C	5
acid__BMT_none____Feces__055_C_07	acid	BMT	none	Feces	55	C	7
acid__BMT_none____Feces__056_C_07	acid	BMT	none	Feces	56	C	7
acid__BMT_none____Feces__057_C_07	acid	BMT	none	Feces	57	C	7
acid__BMT_none____Feces__070_D_10	acid	BMT	none	Feces	70	D	10
acid__BMT_none____Feces__071_D_10	acid	BMT	none	Feces	71	D	10
acid__BMT_none____Feces__072_D_10	acid	BMT	none	Feces	72	D	10
acid__BMT_none____Feces__010_D_01	acid	BMT	none	Feces	10	D	1
acid__BMT_none____Feces__011_D_01	acid	BMT	none	Feces	11	D	1
acid__BMT_none____Feces__012_D_01	acid	BMT	none	Feces	12	D	1
acid__BMT_none____Feces__082_D_21	acid	BMT	none	Feces	82	D	21
acid__BMT_none____Feces__083_D_21	acid	BMT	none	Feces	83	D	21
acid__BMT_none____Feces__084_D_21	acid	BMT	none	Feces	84	D	21
acid__BMT_none____Lung___082_D_21	acid	BMT	none	Lung	82	D	21
acid__BMT_none____Lung___083_D_21	acid	BMT	none	Lung	83	D	21
acid__BMT_none____Lung___084_D_21	acid	BMT	none	Lung	84	D	21
acid__BMT_none____Tongue_082_D_21	acid	BMT	none	Tongue	82	D	21
acid__BMT_none____Tongue_083_D_21	acid	BMT	none	Tongue	83	D	21
acid__BMT_none____Tongue_084_D_21	acid	BMT	none	Tongue	84	D	21
acid__BMT_none____Feces__022_D_02	acid	BMT	none	Feces	22	D	2
acid__BMT_none____Feces__023_D_02	acid	BMT	none	Feces	23	D	2
acid__BMT_none____Feces__024_D_02	acid	BMT	none	Feces	24	D	2
acid__BMT_none____Feces__034_D_03	acid	BMT	none	Feces	34	D	3
acid__BMT_none____Feces__035_D_03	acid	BMT	none	Feces	35	D	3
acid__BMT_none____Feces__036_D_03	acid	BMT	none	Feces	36	D	3
acid__BMT_none____Feces__046_D_05	acid	BMT	none	Feces	46	D	5
acid__BMT_none____Feces__047_D_05	acid	BMT	none	Feces	47	D	5
acid__BMT_none____Feces__048_D_05	acid	BMT	none	Feces	48	D	5
acid__BMT_none____Feces__058_D_07	acid	BMT	none	Feces	58	D	7
acid__BMT_none____Feces__059_D_07	acid	BMT	none	Feces	59	D	7
acid__BMT_none____Feces__060_D_07	acid	BMT	none	Feces	60	D	7
plain_BMT_none____Feces__073_E_10	plain	BMT	none	Feces	73	E	10
plain_BMT_none____Feces__074_E_10	plain	BMT	none	Feces	74	E	10
plain_BMT_none____Feces__013_E_01	plain	BMT	none	Feces	13	E	1
plain_BMT_none____Feces__014_E_01	plain	BMT	none	Feces	14	E	1
plain_BMT_none____Feces__015_E_01	plain	BMT	none	Feces	15	E	1
plain_BMT_none____Feces__085_E_21	plain	BMT	none	Feces	85	E	21
plain_BMT_none____Feces__086_E_21	plain	BMT	none	Feces	86	E	21
plain_BMT_none____Lung___085_E_21	plain	BMT	none	Lung	85	E	21
plain_BMT_none____Lung___086_E_21	plain	BMT	none	Lung	86	E	21
plain_BMT_none____Tongue_085_E_21	plain	BMT	none	Tongue	85	E	21
plain_BMT_none____Tongue_086_E_21	plain	BMT	none	Tongue	86	E	21
plain_BMT_none____Tongue_087_E_21	plain	BMT	none	Tongue	87	E	21
plain_BMT_none____Feces__025_E_02	plain	BMT	none	Feces	25	E	2
plain_BMT_none____Feces__026_E_02	plain	BMT	none	Feces	26	E	2
plain_BMT_none____Feces__027_E_02	plain	BMT	none	Feces	27	E	2
plain_BMT_none____Feces__037_E_03	plain	BMT	none	Feces	37	E	3
plain_BMT_none____Feces__038_E_03	plain	BMT	none	Feces	38	E	3
plain_BMT_none____Feces__039_E_03	plain	BMT	none	Feces	39	E	3
plain_BMT_none____Feces__049_E_05	plain	BMT	none	Feces	49	E	5
plain_BMT_none____Feces__050_E_05	plain	BMT	none	Feces	50	E	5
plain_BMT_none____Feces__051_E_05	plain	BMT	none	Feces	51	E	5
plain_BMT_none____Feces__061_E_07	plain	BMT	none	Feces	61	E	7
plain_BMT_none____Feces__062_E_07	plain	BMT	none	Feces	62	E	7
plain_BMT_none____Feces__063_E_07	plain	BMT	none	Feces	63	E	7
plain_BMT_none____Feces__076_F_10	plain	BMT	none	Feces	76	F	10
plain_BMT_none____Feces__077_F_10	plain	BMT	none	Feces	77	F	10
plain_BMT_none____Feces__078_F_10	plain	BMT	none	Feces	78	F	10
plain_BMT_none____Feces__016_F_01	plain	BMT	none	Feces	16	F	1
plain_BMT_none____Feces__017_F_01	plain	BMT	none	Feces	17	F	1
plain_BMT_none____Feces__018_F_01	plain	BMT	none	Feces	18	F	1
plain_BMT_none____Feces__088_F_21	plain	BMT	none	Feces	88	F	21
plain_BMT_none____Feces__089_F_21	plain	BMT	none	Feces	89	F	21
plain_BMT_none____Feces__090_F_21	plain	BMT	none	Feces	90	F	21
plain_BMT_none____Lung___088_F_21	plain	BMT	none	Lung	88	F	21
plain_BMT_none____Lung___089_F_21	plain	BMT	none	Lung	89	F	21
plain_BMT_none____Lung___090_F_21	plain	BMT	none	Lung	90	F	21
plain_BMT_none____Tongue_088_F_21	plain	BMT	none	Tongue	88	F	21
plain_BMT_none____Tongue_089_F_21	plain	BMT	none	Tongue	89	F	21
plain_BMT_none____Tongue_090_F_21	plain	BMT	none	Tongue	90	F	21
plain_BMT_none____Feces__028_F_02	plain	BMT	none	Feces	28	F	2
